package_name,version,summary,license,metadata_source
Babel,2.7.0,Internationalization utilities,BSD,PyPI
Baker,1.3,"Easy, powerful access to Python functions from the command line",Apache 2.0,PyPI
Boruta,0.3,Python Implementation of Boruta Feature Selection,BSD 3 clause,PyPI
Bottleneck,1.2.1,Fast NumPy array functions written in C,Simplified BSD,PyPI
CVXcanon,0.1.1,"A low-level library to perform the matrix building step in cvxpy, a convex optimization modeling software.",GPLv3,PyPI
CairoSVG,2.4.1,A Simple SVG Converter based on Cairo,LGPLv3+,PyPI
Cartopy,0.17.0,A cartographic python library with Matplotlib support for visualisation,LGPLv3,PyPI
Click,7.0,Composable command line interface toolkit,BSD,PyPI
ConfigArgParse,0.14.0,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,MIT,PyPI
Cython,0.29.13,The Cython compiler for writing C extensions for the Python language.,Apache,PyPI
Delorean,1.0.0,library for manipulating datetimes with ease and clarity,MIT license,PyPI
Deprecated,1.2.6,"Python @deprecated decorator to deprecate old python classes, functions or methods.",MIT,PyPI
Fiona,1.8.6,Fiona reads and writes spatial data files,BSD,PyPI
Flask,1.1.1,A simple framework for building complex web applications.,BSD-3-Clause,PyPI
Flask-Cors,3.0.8,A Flask extension adding a decorator for CORS support,MIT,PyPI
Geohash,1.0,Module to decode/encode Geohashes to/from latitude and longitude.,GNU Affero GPL.,PyPI
ImageHash,4.0,Image Hashing library,BSD 2-clause (see LICENSE file),PyPI
Janome,0.3.9,Japanese morphological analysis engine.,AL2,PyPI
Jinja2,2.10.1,A small but fast and easy to use stand-alone template engine written in pure python.,BSD,PyPI
Keras,2.2.4,Deep Learning for humans,MIT,PyPI
Keras-Applications,1.0.8,Reference implementations of popular deep learning models,MIT,PyPI
Keras-Preprocessing,1.1.0,Easy data preprocessing and data augmentation for deep learning models,MIT,PyPI
Lasagne,0.2.dev1,A lightweight library to build and train neural networks in Theano,MIT,PyPI
Mako,1.1.0,A super-fast templating language that borrows the  best ideas from the existing templating languages.,MIT,PyPI
Markdown,3.1.1,Python implementation of Markdown.,BSD License,PyPI
MarkupSafe,1.1.1,Safely add untrusted strings to HTML/XML markup.,BSD-3-Clause,PyPI
PDPbox,0.2.0+13.g73c6966,python partial dependence plot toolbox,MIT,PyPI
Pillow,5.4.1,Python Imaging Library (Fork),,PyPI
PyArabic,0.6.5,Arabic text tools for Python,GPL,PyPI
PyAstronomy,0.13.0,A collection of astronomy related tools for Python.,,PyPI
PyBrain,0.3.3,PyBrain is the Swiss army knife for neural networking.,BSD,PyPI
PyOpenGL,3.1.0,Standard OpenGL bindings for Python,BSD,PyPI
PyPrind,2.11.2,Python Progress Bar and Percent Indicator Utility,BSD 3-Clause,PyPI
PySocks,1.7.0,A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information.,BSD,PyPI
PyUpSet,0.1.1.post7,Python implementation of the UpSet visualisation suite by Lex et al.,MIT,PyPI
PyWavelets,1.0.3,"PyWavelets, wavelet transform module",MIT,PyPI
PyYAML,5.1.2,YAML parser and emitter for Python,MIT,PyPI
Pygments,2.4.2,Pygments is a syntax highlighting package written in Python.,BSD License,PyPI
Pympler,0.7,"A development tool to measure, monitor and analyze the memory behavior of Python objects.","Apache License, Version 2.0",PyPI
Pyphen,0.9.5,Pure Python module to hyphenate text,,PyPI
QtAwesome,0.5.7,FontAwesome icons in PyQt and PySide applications,MIT,PyPI
QtPy,1.9.0,"Provides an abstraction layer on top of the various Qt bindings (PyQt5, PyQt4 and PySide) and additional custom QWidgets.",MIT,PyPI
Rtree,0.8.3,R-Tree spatial index for Python GIS,LGPL,PyPI
SQLAlchemy,1.3.7,Database Abstraction Library,MIT,PyPI
SecretStorage,3.1.1,Python bindings to FreeDesktop.org Secret Service API,BSD 3-Clause License,PyPI
Send2Trash,1.5.0,"Send file to trash natively under Mac OS X, Windows and Linux.",BSD License,PyPI
Shapely,1.6.4.post2,"Geometric objects, predicates, and operations",BSD,PyPI
SimpleITK,1.2.2,SimpleITK is a simplified interface to the Insight Toolkit (ITK) for image registration and segmentation,Apache,PyPI
SoundFile,0.10.2,"An audio library based on libsndfile, CFFI and NumPy",BSD 3-Clause License,PyPI
Sphinx,2.1.2,Python documentation generator,BSD,PyPI
TPOT,0.10.2,Tree-based Pipeline Optimization Tool,GNU/LGPLv3,PyPI
Theano,1.0.4+12.g93e8180bf,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.,BSD,PyPI
Unidecode,1.1.1,ASCII transliterations of Unicode text,GPL,PyPI
Wand,0.5.3,Ctypes-based simple MagickWand API binding for Python,MIT License,PyPI
Werkzeug,0.15.5,The comprehensive WSGI web application library.,BSD-3-Clause,PyPI
Wordbatch,1.4.0,"Python library for distributed AI processing pipelines, using swappable scheduler backends",GNU GPL 2.0,PyPI
XlsxWriter,1.1.8,A Python module for creating Excel XLSX files.,BSD,PyPI
absl-py,0.7.1,"Abseil Python Common Libraries, see https://github.com/abseil/abseil-py.",Apache 2.0,PyPI
alabaster,0.7.12,"Configurable, Python 2+3 compatible Sphinx theme.",BSD 3-Clause,Anaconda
albumentations,0.3.1,Fast image augmentation library and easy to use wrapper around other libraries,MIT,PyPI
alembic,1.0.11,A database migration tool for SQLAlchemy.,MIT,Anaconda
allennlp,0.8.4,"An open-source NLP research library, built on PyTorch.",Apache,PyPI
altair,3.2.0,Altair: A declarative statistical visualization library for Python.,BSD 3-clause,PyPI
anaconda-client,1.7.2,anaconda.org command line client library,BSD 3-clause,Anaconda
anaconda-navigator,1.9.7,Anaconda Navigator,"proprietary - Continuum Analytics, Inc.",Anaconda
anaconda-project,0.8.3,"Tool for encapsulating, running, and reproducing data science projects",BSD 3-Clause,Anaconda
annoy,1.15.2,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk.,Apache License 2.0,PyPI
appdirs,1.4.3,A small Python module for determining appropriate platform-specific dirs.,MIT,Anaconda
arrow,0.14.5,Better dates & times for Python.,Apache-2.0,Anaconda
asn1crypto,0.24.0,Python ASN.1 library with a focus on performance and a pythonic API,MIT,Anaconda
astor,0.8.0,Read/rewrite/write Python ASTs,BSD-3-Clause,PyPI
astroid,2.2.5,A abstract syntax tree for Python with inference support.,LGPL 2.1,Anaconda
astropy,3.2.1,Community-developed Python Library for Astronomy,BSD,Anaconda
atomicwrites,1.3.0,Atomic file writes,MIT,Anaconda
attrs,19.1.0,attrs is the Python package that will bring back the joy of writing classes by relieving you from the drudgery of implementing object protocols (aka dunder methods).,MIT,Anaconda
audioread,2.1.8,"multi-library, cross-platform audio decoding",MIT,PyPI
backcall,0.1.0,Specifications for callback functions passed in to an API,BSD-3-Clause,Anaconda
backports.functools-lru-cache,1.5,backports.functools_lru_cache,,PyPI
backports.os,0.1.1,Backport of new features in Python's os module,Python Software Foundation,Anaconda
backports.shutil-get-terminal-size,1.0.0,A backport of the get_terminal_size function from Python 3.3's shutil.,MIT,PyPI
backports.tempfile,1.0,Backport of new features in Python's tempfile module,Python Software Foundation License,PyPI
backports.weakref,1.0.post1,Backport of new features in Python's weakref module,Python-2.0,Anaconda
basemap,1.2.0,Plot on map projections using matplotlib,MIT,Anaconda
bayesian-optimization,1.0.2,Bayesian Optimization package,,PyPI
bayespy,0.5.18,Variational Bayesian inference tools for Python,,PyPI
bcolz,1.2.1,A columnar data container that can be compressed,MIT,Anaconda
beautifulsoup4,4.8.0,Python library designed for screen-scraping,MIT,Anaconda
biopython,1.74,Collection of freely available tools for computational molecular biology,Biopython License Agreement,Anaconda
bitarray,1.0.1,efficient arrays of booleans -- C extension,PSF,Anaconda
bkcharts,0.2,High level chart types built on top of Bokeh,BSD 3-Clause,Anaconda
bleach,3.1.0,"Easy, whitelist-based HTML-sanitizing tool",Apache-2.0,Anaconda
blis,0.2.4,"The Blis BLAS-like linear algebra library, as a self-contained C-extension.",BSD,PyPI
blist,1.3.6,Replacement for Python lists with better performance,BSD 3-clause,Anaconda
bokeh,1.3.4,Statistical and novel interactive HTML plots for Python,BSD 3-Clause,Anaconda
boto,2.49.0,Amazon Web Services Library,MIT,Anaconda
boto3,1.9.212,Amazon Web Services SDK for Python,Apache 2.0,Anaconda
botocore,1.12.212,"Low-level, data-driven core of boto 3.",Apache 2.0,Anaconda
bq-helper,0.4.1,,,
branca,0.3.1,Generate complex HTML+JS pages with Python,"Copyright (C) 2013, Martin Journois",PyPI
brewer2mpl,1.4.1,Connect colorbrewer2.org color maps to Python and matplotlib,UNKNOWN,PyPI
cachetools,3.1.1,Extensible memoizing collections and decorators,MIT,PyPI
cairocffi,1.0.2,cffi-based cairo bindings for Python,BSD,PyPI
catboost,0.16.5,Catboost Python Package,"Apache License, Version 2.0",PyPI
category-encoders,2.0.0,A collection sklearn transformers to encode categorical variables as numeric,BSD,PyPI
certifi,2019.6.16,Python package for providing Mozilla's CA Bundle.,ISC,Anaconda
cesium,0.9.9,Machine Learning Time-Series Platform,Modified BSD,PyPI
cffi,1.12.3,Foreign Function Interface for Python calling C code.,MIT,Anaconda
chainer,6.2.0,A flexible framework of neural networks,MIT License,Anaconda
chainercv,0.13.1,,,PyPI
chardet,3.0.4,Universal character encoding detector,LGPL2,Anaconda
cleverhans,3.0.1,,MIT,PyPI
click-plugins,1.1.1,An extension module for click to enable registering CLI commands via setuptools entry-points,BSD-3-Clause,Anaconda
cliff,2.15.0,Command Line Interface Formulation Framework,,PyPI
cligj,0.5.0,Click params for commmand line interfaces to GeoJSON.,BSD 3-Clause,Anaconda
cloudpickle,1.2.1,Extended pickling support for Python objects,BSD 3-Clause,Anaconda
clyent,1.2.2,Command line client library for windows and posix,BSD 3-Clause,Anaconda
cmd2,0.9.16,cmd2 - quickly build feature-rich and user-friendly interactive command line applications in Python,MIT,PyPI
